sequential_entry_number,original_record_id,bank,record_type,exact_japanese_source,romaji,reconstructed_japanese,literal_english_meaning,linguistic_and_cultural_notes,speaker_or_narration_identity,current_english,problems_with_current_english,final_natural_english_translation,patch_safe_english_translation,confidence_level,unresolved_ambiguity,translation_status,scene,source_location,apparent_capacity,source_control_codes,patch_control_codes,control_codes_match,problem_categories,dialect_or_register,requires_gameplay_context,requires_technical_expansion,nuance_lost_in_patch_safe_version
883,TT5/g2/r26,TT5,scenario,とむ「ちょっと ちがうんでないかい！」,tomu「chotto chigaundenaikai！」,とむ「ちょっと ちがうんでないかい！」,Tom: That seems wrong!,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Tom,Tom: That seems wrong!,Accurate,Tom: That seems wrong!,Tom: That seems wrong!,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 2 @ 0xB7D2; record 26,current draft 22 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
884,TT5/g2/r27,TT5,scenario,べる「じょーじ おねがいよ ちえをかしとくれ」,beru「jooji onegaiyo chieokashitokure」,べる「ジョージ おねがいよ ちえをかしとくれ」,"Belle: George, help me!",Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Belle,"Belle: George, help me!",Accurate,"Belle: George, help me!","Belle: George, help me!",High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 2 @ 0xB7D2; record 27,current draft 23 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
885,TT5/g2/r28,TT5,scenario,べる「ここに3ぼんのびんがあってね{CTRL:0} 1りっとるのびんは からっぽ{CTRL:0} 500みりりっとると 300みりりっとるの{CTRL:0} びんには みるくがいっぱい はいってる{CTRL:3} だんなさまがおっしゃるには……」,beru「kokoni3bonnobingaattene /  1rittorunobinha karappo /  500miririttoruto 300miririttoruno /  binniha mirukugaippai haitteru /  dannasamagaossharuniha……」,べる「ここに3ぼんのびんがあってね 1りっとるのびんは からっぽ 500みりりっとると 300みりりっとるの びんには みるくがいっぱい はいってる だんなさまがおっしゃるには……」,Belle: Three bottles. The 1L bottle is empty. 500ml and 300ml bottles are full of milk. Master says…,"ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Belle,Belle: Three bottles.{CTRL:0}The 1L bottle is empty.{CTRL:0}500ml and 300ml bottles{CTRL:0}are full of milk.{CTRL:3}Master says...,Accurate,Belle: Three bottles. The 1L bottle is empty. 500ml and 300ml bottles are full of milk. Master says…,Belle: Three bottles.{CTRL:0}The 1L bottle is empty.{CTRL:0}500ml and 300ml bottles{CTRL:0}are full of milk.{CTRL:3}Master says...,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 2 @ 0xB7D2; record 28,current draft 98 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,"0,0,0,3","0,0,0,3",yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
886,TT5/g2/r29,TT5,scenario,べる「どうにかして 1りっとるびんに{CTRL:0} 700みりりっとるのみるくを{CTRL:0} いれてほしいんだとさ{CTRL:6} びんには めもりがついてないし……{CTRL:4} ねえ なんとかしとくれ」,beru「dounikashite 1rittorubinni /  700miririttorunomirukuo /  iretehoshiindatosa /  binniha memorigatsuitenaishi…… /  nee nantokashitokure」,べる「どうにかして 1りっとるびんに 700みりりっとるのみるくを いれてほしいんだとさ びんには めもりがついてないし…… ねえ なんとかしとくれ」,Belle: Put 700 ml into the 1-liter bottle for Master. There are no markings… please work it out.,"ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Belle,Belle: Put 700 ml{CTRL:0}into the 1-liter bottle{CTRL:0}for Master.{CTRL:6}There are no markings...{CTRL:4}please work it out.,Accurate,Belle: Put 700 ml into the 1-liter bottle for Master. There are no markings… please work it out.,Belle: Put 700 ml{CTRL:0}into the 1-liter bottle{CTRL:0}for Master.{CTRL:6}There are no markings...{CTRL:4}please work it out.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 2 @ 0xB7D2; record 29,current draft 94 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,0,6,4","0,0,6,4",yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
887,TT5/g2/r30,TT5,scenario,800みりりっとる はいっている,800miririttoru haitteiru,800みりりっとる はいっている,It holds 800 ml.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It holds 800 ml.,Accurate,It holds 800 ml.,It holds 800 ml.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 2 @ 0xB7D2; record 30,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
888,TT5/g2/r31,TT5,scenario,からっぽだ,karappoda,からっぽだ,It is empty.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It is empty.,Accurate,It is empty.,It is empty.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 2 @ 0xB7D2; record 31,current draft 12 visible characters; longest control-delimited segment 12/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
889,TT5/g3/r0,TT5,scenario,100みりりっとる はいっている,100miririttoru haitteiru,100みりりっとる はいっている,It holds 100 ml.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It holds 100 ml.,Accurate,It holds 100 ml.,It holds 100 ml.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 0,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
890,TT5/g3/r1,TT5,scenario,200みりりっとる はいっている,200miririttoru haitteiru,200みりりっとる はいっている,It holds 200 ml.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It holds 200 ml.,Accurate,It holds 200 ml.,It holds 200 ml.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 1,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
891,TT5/g3/r2,TT5,scenario,300みりりっとる はいっている,300miririttoru haitteiru,300みりりっとる はいっている,It holds 300 ml.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It holds 300 ml.,Accurate,It holds 300 ml.,It holds 300 ml.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 2,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
892,TT5/g3/r3,TT5,scenario,400みりりっとる はいっている,400miririttoru haitteiru,400みりりっとる はいっている,It holds 400 ml.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It holds 400 ml.,Accurate,It holds 400 ml.,It holds 400 ml.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 3,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
893,TT5/g3/r4,TT5,scenario,500みりりっとる はいっている,500miririttoru haitteiru,500みりりっとる はいっている,It holds 500 ml.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It holds 500 ml.,Accurate,It holds 500 ml.,It holds 500 ml.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 4,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
894,TT5/g3/r5,TT5,scenario,600みりりっとる はいっている,600miririttoru haitteiru,600みりりっとる はいっている,It holds 600 ml.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It holds 600 ml.,Accurate,It holds 600 ml.,It holds 600 ml.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 5,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
895,TT5/g3/r6,TT5,scenario,700みりりっとる はいっている,700miririttoru haitteiru,700みりりっとる はいっている,It holds 700 ml.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It holds 700 ml.,Accurate,It holds 700 ml.,It holds 700 ml.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 6,current draft 16 visible characters; longest control-delimited segment 16/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
896,TT5/g3/r7,TT5,scenario,からっほだ,karahhoda,からっほだ,It is empty.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It is empty.,Accurate,It is empty.,It is empty.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 7,current draft 12 visible characters; longest control-delimited segment 12/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
897,TT5/g3/r8,TT5,scenario,いっぱいだ,ippaida,いっぱいだ,It is full.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It is full.,Accurate,It is full.,It is full.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 8,current draft 11 visible characters; longest control-delimited segment 11/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
898,TT5/g3/r9,TT5,scenario,どれを,doreo,どれを,Which one?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Which one?,Accurate,Which one?,Which one?,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 9,current draft 10 visible characters; longest control-delimited segment 10/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
899,TT5/g3/r10,TT5,scenario,どれに,doreni,どれに,Into which?,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Into which?,Accurate,Into which?,Into which?,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 10,current draft 11 visible characters; longest control-delimited segment 11/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
900,TT5/g3/r11,TT5,scenario,べる「なんだか ちがうようだねぇ……」,beru「nandaka chigauyoudanee……」,べる「なんだか ちがうようだねぇ……」,Belle: Seems wrong…,"ellipsis carries hesitation, silence, or timing Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Belle,Belle: Seems wrong...,Accurate,Belle: Seems wrong…,Belle: Seems wrong...,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 11,current draft 21 visible characters; longest control-delimited segment 21/24 columns; final fit depends on group recompression,,,yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
901,TT5/g3/r12,TT5,scenario,べる「やったよ じょーじ／{CTRL:0} これで しごとはぜんぶおわったんだ{CTRL:2} じゆうになれる／ このなんぶから{CTRL:0} ついに ぬけだせるんだよ／」,beru「yattayo jooji／ /  korede shigotohazenbuowattanda /  jiyuuninareru／ kononanbukara /  tsuini nukedaserundayo／」,べる「やったよ ジョージ／ これで しごとはぜんぶおわったんだ 自由になれる／ この南部から ついに ぬけだせるんだよ／」,"Belle: We did it! All our work is done. We can be free! At last, we can leave the South!",／ functions as a strong display exclamation/beat Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. The source is depicting nineteenth-century slavery/racism; harmful content is translated as character speech or narration without endorsing or sanitizing it. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Belle,"Belle: We did it!{CTRL:0}All our work is done.{CTRL:2}We can be free! At last,{CTRL:0}we can leave the South!",Accurate,"Belle: We did it! All our work is done. We can be free! At last, we can leave the South!","Belle: We did it!{CTRL:0}All our work is done.{CTRL:2}We can be free! At last,{CTRL:0}we can leave the South!",High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 12,current draft 85 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2,0","0,2,0",yes,Accurate,／ functions as a strong display exclamation/beat,no,no,
902,TT5/g3/r13,TT5,scenario,まいやー「ひどいやつらがいるもんだ……{CTRL:1} まあ… きをおとすな べる{CTRL:0} またかねがたまるまで ここではたらけばいい」{CTRL:6}おれ「……」,maiyaa「hidoiyatsuragairumonda…… /  maa… kiootosuna beru /  matakanegatamarumade kokodehatarakebaii」 / ore「……」,マイヤー「ひどいやつらがいるもんだ…… まあ… きをおとすな べる またかねがたまるまで ここではたらけばいい」 おれ「……」,Meyer: What cruel men… well… do not despair. Work here and save up. Protagonist: …,"おれ: plain-to-rough masculine first person; ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Meyer; Protagonist,Meyer: What cruel men...{CTRL:1}well... do not despair.{CTRL:0}Work here and save up.{CTRL:6}Me: ...,Accurate,Meyer: What cruel men… well… do not despair. Work here and save up. Protagonist: …,Meyer: What cruel men...{CTRL:1}well... do not despair.{CTRL:0}Work here and save up.{CTRL:6}Me: ...,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 13,current draft 76 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"1,0,6","1,0,6",yes,Accurate,"おれ: plain-to-rough masculine first person; ellipsis carries hesitation, silence, or timing",no,no,
903,TT5/g3/r14,TT5,scenario,おれたちのいえとは ずいぶんちがうな,oretachinoietoha zuibunchigauna,おれたちのいえとは ずいぶんちがうな,So unlike our home.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,So unlike our home.,Accurate,So unlike our home.,So unlike our home.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 14,current draft 19 visible characters; longest control-delimited segment 19/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
904,TT5/g3/r15,TT5,scenario,けっしょくのいい かおだ,kesshokunoii kaoda,けっしょくのいい かおだ,His face looks healthy.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,His face looks healthy.,Accurate,His face looks healthy.,His face looks healthy.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 15,current draft 23 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
905,TT5/g3/r16,TT5,scenario,まいやー「ひるまでにもどってくる{CTRL:0} だいじなきゃくを つれてくるからな{CTRL:2} そそうのないように するんだぞ{CTRL:6} それと わたしのゆうじんが{CTRL:4} でむかえのじゅんびをしているから{CTRL:4} やしきには はいらないように」,maiyaa「hirumadenimodottekuru /  daijinakyakuo tsuretekurukarana /  sosounonaiyouni surundazo /  soreto watashinoyuujinga /  demukaenojunbioshiteirukara /  yashikiniha hairanaiyouni」,マイヤー「ひるまでにもどってくる だいじなきゃくを つれてくるからな そそうのないように するんだぞ それと わたしのゆうじんが でむかえのじゅんびをしているから やしきには はいらないように」,Meyer: I return by noon. With an important guest. Don't make any mistakes. My friend is preparing to welcome our guest. Stay out of the mansion.,stutter/restart is meaningful performance Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Meyer,Meyer: I return by noon.{CTRL:0}With an important guest.{CTRL:2}Don't make any mistakes.{CTRL:6}My friend is preparing{CTRL:4}to welcome our guest.{CTRL:4}Stay out of the mansion.,Accurate,Meyer: I return by noon. With an important guest. Don't make any mistakes. My friend is preparing to welcome our guest. Stay out of the mansion.,Meyer: I return by noon.{CTRL:0}With an important guest.{CTRL:2}Don't make any mistakes.{CTRL:6}My friend is preparing{CTRL:4}to welcome our guest.{CTRL:4}Stay out of the mansion.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 16,current draft 139 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2,6,4,4","0,2,6,4,4",yes,Accurate,stutter/restart is meaningful performance,no,no,
906,TT5/g3/r17,TT5,scenario,まいやー「ちょっとまて」,maiyaa「chottomate」,マイヤー「ちょっとまて」,Meyer: Wait.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Meyer,Meyer: Wait.,Accurate,Meyer: Wait.,Meyer: Wait.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 17,current draft 12 visible characters; longest control-delimited segment 12/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
907,TT5/g3/r18,TT5,scenario,かぎがかかっている,kagigakakatteiru,かぎがかかっている,It is locked.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,It is locked.,Accurate,It is locked.,It is locked.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 18,current draft 13 visible characters; longest control-delimited segment 13/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
908,TT5/g3/r19,TT5,scenario,むこうぎしのほらあなから あかりがもれている,mukougishinohoraanakara akarigamoreteiru,むこうぎしのほらあなから あかりがもれている,A far-bank cave is lit.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,A far-bank cave is lit.,Accurate,A far-bank cave is lit.,A far-bank cave is lit.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 19,current draft 23 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
909,TT5/g3/r20,TT5,scenario,ゆるやかにながれる かわのおとにまじって{CTRL:0}かすかに ひとのこえがきこえる,yuruyakaninagareru kawanootonimajitte / kasukani hitonokoegakikoeru,ゆるやかにながれる かわのおとにまじって かすかに ひとのこえがきこえる,The river flows gently. Faint voices carry.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,The river flows gently.{CTRL:0}Faint voices carry.,Accurate,The river flows gently. Faint voices carry.,The river flows gently.{CTRL:0}Faint voices carry.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 20,current draft 42 visible characters; longest control-delimited segment 23/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
910,TT5/g3/r21,TT5,scenario,さいだんのまえに ちょうこくがかざられている,saidannomaeni choukokugakazarareteiru,さいだんのまえに ちょうこくがかざられている,Statue before the altar.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,Statue before the altar.,Accurate,Statue before the altar.,Statue before the altar.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 21,current draft 24 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
911,TT5/g3/r22,TT5,scenario,おそろしい やつらだ,osoroshii yatsurada,おそろしい やつらだ,They are terrifying.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,They are terrifying.,Accurate,They are terrifying.,They are terrifying.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 22,current draft 20 visible characters; longest control-delimited segment 20/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
912,TT5/g3/r23,TT5,scenario,なにかをつかもうとする てのかたちをしている{CTRL:1}どこかで みたおぼえが……,nanikaotsukamoutosuru tenokatachioshiteiru / dokokade mitaoboega……,なにかをつかもうとする てのかたちをしている どこかで みたおぼえが……,A reaching hand appears. I have seen it before…,"ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Narration / protagonist's internal observation / interaction text,A reaching hand appears.{CTRL:1}I have seen it before...,Accurate,A reaching hand appears. I have seen it before…,A reaching hand appears.{CTRL:1}I have seen it before...,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 23,current draft 48 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,1,1,yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
913,TT5/g3/r24,TT5,scenario,さいだんにむかって なにやらぶきみなじゅもんを{CTRL:0}となえている,saidannimukatte naniyarabukiminajumono / tonaeteiru,さいだんにむかって なにやらぶきみなじゅもんを となえている,They chant dark spells toward the altar.,Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,They chant dark spells{CTRL:0}toward the altar.,Accurate,They chant dark spells toward the altar.,They chant dark spells{CTRL:0}toward the altar.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 24,current draft 39 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,0,0,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
914,TT5/g3/r25,TT5,scenario,おとこ「たましいのけいやくを かわしたわれわれに{CTRL:0} もはや おそれるものなどない{CTRL:2} あくまのりそうとする あんこくのれきしを{CTRL:0} われわれじしんのてで つくりあげていくのだ／」,otoko「tamashiinokeiyakuo kawashitawarewareni /  mohaya osorerumononadonai /  akumanorisoutosuru ankokunorekishio /  warewarejishinnotede tsukuriageteikunoda／」,おとこ「たましいのけいやくを かわしたわれわれに もはや おそれるものなどない あくまのりそうとする あんこくの歴史を われわれじしんのてで つくりあげていくのだ／」,Man: We made soul pacts. We fear nothing now. We'll forge dark history the Devil desires!,／ functions as a strong display exclamation/beat Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Man,Man: We made soul pacts.{CTRL:0}We fear nothing now.{CTRL:2}We'll forge dark history{CTRL:0}the Devil desires!,Accurate,Man: We made soul pacts. We fear nothing now. We'll forge dark history the Devil desires!,Man: We made soul pacts.{CTRL:0}We fear nothing now.{CTRL:2}We'll forge dark history{CTRL:0}the Devil desires!,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 25,current draft 86 visible characters; longest control-delimited segment 24/24 columns; final fit depends on group recompression,"0,2,0","0,2,0",yes,Accurate,／ functions as a strong display exclamation/beat,no,no,
915,TT5/g3/r26,TT5,scenario,じさつこういだ,jisatsukouida,じさつこういだ,That would be suicide.,Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Narration / protagonist's internal observation / interaction text,That would be suicide.,Accurate,That would be suicide.,That would be suicide.,High,,Final proposed,"September 1864 Atlanta: slavery, emancipation, and plantation life",group 3 @ 0xBBC3; record 26,current draft 22 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
916,T25/g0/r0,T25,scenario,ゆうがたちかくになって ようやく{CTRL:0}まいやーが もどってきた{CTRL:2}ひとりのきゃくを つれて……,yuugatachikakuninatte youyaku / maiyaaga modottekita / hitorinokyakuo tsurete……,ゆうがたちかくになって ようやく マイヤーが もどってきた ひとりのきゃくを つれて……,"Near evening, Meyer finally returned, with a guest in tow…","ellipsis carries hesitation, silence, or timing Control tags are non-linguistic display/timing instructions and are preserved in order in the patch-safe field. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.",Narration / protagonist's internal observation / interaction text,"Near evening, Meyer{CTRL:0}finally returned,{CTRL:2}with a guest in tow...",Accurate,"Near evening, Meyer finally returned, with a guest in tow…","Near evening, Meyer{CTRL:0}finally returned,{CTRL:2}with a guest in tow...",High,,Final proposed,"Civil War continuation: Meyer, Lincoln, and the river escape",group 0 @ 0xAD39; record 0,current draft 58 visible characters; longest control-delimited segment 22/24 columns; final fit depends on group recompression,"0,2","0,2",yes,Accurate,"ellipsis carries hesitation, silence, or timing",no,no,
